product_id,date,stock_received,damaged_stock
153019,2023-03-17,4,2
848226,2023-03-17,4,2
965755,2023-03-17,1,0
39154,2023-03-17,4,0
34186,2023-03-17,3,2
478531,2023-03-17,4,2
812607,2023-03-17,4,0
818990,2023-03-17,4,0
14145,2023-03-17,0,2
847349,2023-03-17,0,2
284460,2023-03-17,4,0
77308,2023-03-17,0,2
654297,2023-03-17,4,2
376447,2023-03-17,4,0
217710,2023-03-17,0,2
888807,2023-03-17,1,0
41853,2023-03-17,4,0
257719,2023-03-17,4,0
741341,2023-03-17,0,2
500633,2023-03-17,0,2
799952,2023-03-17,3,0
833557,2023-03-17,4,0
324809,2023-03-17,1,0
455083,2023-03-17,0,2
592784,2023-03-17,3,0
578097,2023-03-17,0,2
487065,2023-03-17,4,0
734789,2023-03-17,4,0
949818,2023-03-17,0,2
654623,2023-03-17,4,0
378230,2023-03-17,0,2
990993,2023-03-17,1,0
762527,2023-03-17,4,0
602241,2023-03-17,1,2
491521,2023-03-17,3,0
832348,2023-03-17,3,2
567671,2023-03-17,4,0
991434,2023-03-17,0,2
540618,2023-03-17,3,0
107548,2023-03-17,0,2
687218,2023-03-17,3,2
328457,2023-03-17,3,0
300159,2023-03-17,3,2
378676,2023-03-17,3,0
532965,2023-03-17,4,0
305754,2023-03-17,1,0
491314,2023-03-17,0,2
470449,2023-03-17,0,2
623234,2023-03-17,0,2
652118,2023-03-17,0,2
611575,2023-03-17,3,0
621677,2023-03-17,3,0
306177,2023-03-17,4,0
692985,2023-03-17,0,2
487931,2023-03-17,0,2
901144,2023-03-17,3,0
53833,2023-03-17,4,0
490602,2023-03-17,4,0
131136,2023-03-17,0,2
287070,2023-03-17,1,0
317242,2023-03-17,3,0
644847,2023-03-17,0,2
461804,2023-03-17,3,0
94225,2023-03-17,0,2
820541,2023-03-17,3,0
91670,2023-03-17,3,2
336847,2023-03-17,0,2
144124,2023-03-17,3,2
677542,2023-03-17,1,0
604184,2023-03-17,1,0
894539,2023-03-17,0,2
968887,2023-03-17,4,0
739448,2023-03-17,0,2
700048,2023-03-17,3,2
473647,2023-03-17,3,0
753354,2023-03-17,3,0
490939,2023-03-17,4,0
803607,2023-03-17,0,2
799688,2023-03-17,0,2
684939,2023-03-17,0,2
615545,2023-03-17,0,2
366066,2023-03-17,0,2
970529,2023-03-17,3,2
820973,2023-03-17,0,2
433521,2023-03-17,3,2
927651,2023-03-17,3,0
930284,2023-03-17,0,2
432617,2023-03-17,0,2
942001,2023-03-17,3,2
585299,2023-03-17,3,0
52729,2023-03-17,4,0
661577,2023-03-17,3,0
951463,2023-03-17,4,0
243235,2023-03-17,3,2
564692,2023-03-17,4,0
131748,2023-03-17,4,0
186168,2023-03-17,0,2
537274,2023-03-17,0,2
913428,2023-03-17,4,0
726958,2023-03-17,3,0
613942,2023-03-17,0,2
784673,2023-03-17,0,2
425341,2023-03-17,1,0
760828,2023-03-17,0,2
677169,2023-03-17,4,0
557908,2023-03-17,0,2
566052,2023-03-17,0,2
137909,2023-03-17,0,2
799459,2023-03-17,0,2
992178,2023-03-17,0,2
26060,2023-03-17,3,0
237083,2023-03-17,4,0
240179,2023-03-17,0,2
153019,2023-03-18,0,2
669378,2023-03-18,3,0
890623,2023-03-18,4,0
516376,2023-03-18,0,2
34186,2023-03-18,0,2
196719,2023-03-18,0,2
818990,2023-03-18,1,0
349294,2023-03-18,3,2
